date,average_temperature,rainfall,weekend,holiday,price_per_kg,promo,demand,previous_days_demand
2023-02-06 10:53:54.581103,30.58472685635918,6.786844618818696,0,0,2.5024636658836807,0,844.9940172482485,844.9940172482485
2023-02-07 10:53:54.581103,15.4650686212835,9.716519954037167,0,0,1.871179701151081,0,879.0296990216098,844.9940172482485
2023-02-08 10:53:54.581103,10.786525222541337,1.0998357092276891,0,0,1.1491595301595114,0,973.393596926391,879.0296990216098
2023-02-09 10:53:54.581103,23.64815416797147,9.57813569328806,0,0,0.8914141277295206,0,968.7803831938214,973.393596926391
2023-02-10 10:53:54.581103,13.861390511387913,4.693826430867088,0,0,0.7377114796641836,0,873.1543557036271,968.7803831938214
2023-02-11 10:53:54.581103,14.674082315677506,0.7519465243805007,1,0,2.7048571215630313,0,1204.8545725191873,873.1543557036271
2023-02-12 10:53:54.581103,20.55869234062945,2.664046186028206,1,0,1.4488503437693279,0,1244.4513763176901,1204.8545725191873
2023-02-13 10:53:54.581103,25.138812487847655,0.7648360344172562,0,0,1.5716850677897685,0,981.7654027521623,1244.4513763176901
2023-02-14 10:53:54.581103,22.30885280018967,0.39266433431669845,0,0,1.1907379423020266,0,1004.6530753843208,981.7654027521623
2023-02-15 10:53:54.581103,26.102976692730103,14.643975928546979,0,0,0.7775124526766133,0,1037.9943254945838,1004.6530753843208
2023-02-16 10:53:54.581103,32.82623697937525,1.6896753641896576,0,0,1.6183631953443873,0,939.0024145757509,1037.9943254945838
2023-02-17 10:53:54.581103,29.277602732211943,1.0013437241723415,0,0,0.9400835404980004,0,938.1719862727339,939.0024145757509
2023-02-18 10:53:54.581103,17.209030485013248,0.7228397675345692,1,0,2.200127642425646,0,1224.8749094700906,938.1719862727339
2023-02-19 10:53:54.581103,20.386033601349524,5.18096307612789,1,0,2.3961957150272903,0,1249.8184710921555,1224.8749094700906
2023-02-20 10:53:54.581103,18.287260881604418,18.083048871241672,0,0,2.137232427746458,0,903.790255565149,1249.8184710921555
2023-02-21 10:53:54.581103,19.158167368548924,12.852979601662561,0,0,2.8621230075042203,0,854.7274111791643,903.790255565149
2023-02-22 10:53:54.581103,17.804883447934753,1.3382255668450083,0,0,0.635099840226308,0,881.1925788276108,854.7274111791643
2023-02-23 10:53:54.581103,24.511146065573193,0.028732898156119815,0,0,1.560091181122052,0,970.3520259884484,881.1925788276108
2023-02-24 10:53:54.581103,12.823793208510217,13.965168019078018,0,0,1.3301740591498001,0,860.3961614951997,970.3520259884484
2023-02-25 10:53:54.581103,18.146871489687292,9.435933583692783,1,0,2.5777033848969846,1,1411.7236740441158,860.3961614951997
2023-02-26 10:53:54.581103,31.31823682512207,1.3604661466773509,1,0,1.4085383178500006,1,1366.6497394041203,1411.7236740441158
2023-02-27 10:53:54.581103,14.150638744238305,0.5433197546347451,0,0,1.7560055260007577,0,827.1764222391942,1366.6497394041203
2023-02-28 10:53:54.581103,22.06195833556687,10.737843975927577,0,0,0.7688321285894042,0,920.6907323105532,827.1764222391942
2023-03-01 10:53:54.581103,23.77576416567278,0.8787413251084308,0,0,0.8970858255284705,0,1034.5237069099958,920.6907323105532
